pct,sample_size,pollster,answer,pollscore,end_date,candidate_dummy
47.7,800,InsiderAdvantage,Harris,-0.3,2024-11-03,1
48.7,800,InsiderAdvantage,Trump,-0.3,2024-11-03,0
64,450,Research Co.,Harris,-0.5,2024-11-03,1
32,450,Research Co.,Trump,-0.5,2024-11-03,0
44,450,Research Co.,Harris,-0.5,2024-11-03,1
51,450,Research Co.,Trump,-0.5,2024-11-03,0
49,450,Research Co.,Harris,-0.5,2024-11-03,1
47,450,Research Co.,Trump,-0.5,2024-11-03,0
51,450,Research Co.,Harris,-0.5,2024-11-03,1
44,450,Research Co.,Trump,-0.5,2024-11-03,0
39,450,Research Co.,Harris,-0.5,2024-11-03,1
54,450,Research Co.,Trump,-0.5,2024-11-03,0
57,450,Research Co.,Harris,-0.5,2024-11-03,1
40,450,Research Co.,Trump,-0.5,2024-11-03,0
57,450,Research Co.,Harris,-0.5,2024-11-03,1
41,450,Research Co.,Trump,-0.5,2024-11-03,0
48,450,Research Co.,Harris,-0.5,2024-11-03,1
47,450,Research Co.,Trump,-0.5,2024-11-03,0
51,450,Research Co.,Harris,-0.5,2024-11-03,1
45,450,Research Co.,Trump,-0.5,2024-11-03,0
54,450,Research Co.,Harris,-0.5,2024-11-03,1
39,450,Research Co.,Trump,-0.5,2024-11-03,0
49,450,Research Co.,Harris,-0.5,2024-11-03,1
46,450,Research Co.,Trump,-0.5,2024-11-03,0
48.4,750,Victory Insights,Harris,0.1,2024-11-03,1
49.2,750,Victory Insights,Trump,0.1,2024-11-03,0
48,1003,Research Co.,Harris,-0.5,2024-11-03,1
46,1003,Research Co.,Trump,-0.5,2024-11-03,0
49.4,1115,Patriot Polling,Harris,0.6,2024-11-03,1
48.1,1115,Patriot Polling,Trump,0.6,2024-11-03,0
48.7,903,Patriot Polling,Harris,0.6,2024-11-03,1
49.6,903,Patriot Polling,Trump,0.6,2024-11-03,0
49.2,858,Patriot Polling,Harris,0.6,2024-11-03,1
48.5,858,Patriot Polling,Trump,0.6,2024-11-03,0
49,835,Patriot Polling,Harris,0.6,2024-11-03,1
48.7,835,Patriot Polling,Trump,0.6,2024-11-03,0
48.9,799,Patriot Polling,Harris,0.6,2024-11-03,1
50.5,799,Patriot Polling,Trump,0.6,2024-11-03,0
48.6,818,Patriot Polling,Harris,0.6,2024-11-03,1
50.4,818,Patriot Polling,Trump,0.6,2024-11-03,0
47.6,801,Patriot Polling,Harris,0.6,2024-11-03,1
51.1,801,Patriot Polling,Trump,0.6,2024-11-03,0
49.4,792,Patriot Polling,Harris,0.6,2024-11-03,1
49.5,792,Patriot Polling,Trump,0.6,2024-11-03,0
46.7,1089,Trafalgar Group,Harris,0.6,2024-11-03,1
48.4,1089,Trafalgar Group,Trump,0.6,2024-11-03,0
48.2,1086,Trafalgar Group,Harris,0.6,2024-11-03,1
47,1086,Trafalgar Group,Trump,0.6,2024-11-03,0
47.4,1079,Trafalgar Group,Harris,0.6,2024-11-03,1
47.8,1079,Trafalgar Group,Trump,0.6,2024-11-03,0
48,1411,TIPP,Harris,-0.4,2024-11-03,1
48,1411,TIPP,Trump,-0.4,2024-11-03,0
48.3,1411,TIPP,Harris,-0.4,2024-11-03,1
48.8,1411,TIPP,Trump,-0.4,2024-11-03,0
49.6,600,Victory Insights,Harris,0.1,2024-11-03,1
44.7,600,Victory Insights,Trump,0.1,2024-11-03,0
49.4,886,Leger,Harris,0,2024-11-03,1
48.5,886,Leger,Trump,0,2024-11-03,0
44.8,800,Emerson,Harris,-1.1,2024-11-02,1
53.9,800,Emerson,Trump,-1.1,2024-11-02,0
47.2,2463,AtlasIntel,Harris,-0.8,2024-11-02,1
49,2463,AtlasIntel,Trump,-0.8,2024-11-02,0
48.3,2463,AtlasIntel,Harris,-0.8,2024-11-02,1
49.8,2463,AtlasIntel,Trump,-0.8,2024-11-02,0
45.1,967,AtlasIntel,Harris,-0.8,2024-11-02,1
51.9,967,AtlasIntel,Trump,-0.8,2024-11-02,0
45.8,967,AtlasIntel,Harris,-0.8,2024-11-02,1
52.3,967,AtlasIntel,Trump,-0.8,2024-11-02,0
46.8,1174,AtlasIntel,Harris,-0.8,2024-11-02,1
48.6,1174,AtlasIntel,Trump,-0.8,2024-11-02,0
47.6,1174,AtlasIntel,Harris,-0.8,2024-11-02,1
50.1,1174,AtlasIntel,Trump,-0.8,2024-11-02,0
47.8,1198,AtlasIntel,Harris,-0.8,2024-11-02,1
49.3,1198,AtlasIntel,Trump,-0.8,2024-11-02,0
48.2,1198,AtlasIntel,Harris,-0.8,2024-11-02,1
49.7,1198,AtlasIntel,Trump,-0.8,2024-11-02,0
48,728,AtlasIntel,Harris,-0.8,2024-11-02,1
49.3,728,AtlasIntel,Trump,-0.8,2024-11-02,0
48.6,728,AtlasIntel,Harris,-0.8,2024-11-02,1
49.6,728,AtlasIntel,Trump,-0.8,2024-11-02,0
47.4,2049,AtlasIntel,Harris,-0.8,2024-11-02,1
49.1,2049,AtlasIntel,Trump,-0.8,2024-11-02,0
47.8,2049,AtlasIntel,Harris,-0.8,2024-11-02,1
49.6,2049,AtlasIntel,Trump,-0.8,2024-11-02,0
46.8,1310,AtlasIntel,Harris,-0.8,2024-11-02,1
50.4,1310,AtlasIntel,Trump,-0.8,2024-11-02,0
47.1,1310,AtlasIntel,Harris,-0.8,2024-11-02,1
50.5,1310,AtlasIntel,Trump,-0.8,2024-11-02,0
45.9,782,AtlasIntel,Harris,-0.8,2024-11-02,1
51.4,782,AtlasIntel,Trump,-0.8,2024-11-02,0
46,782,AtlasIntel,Harris,-0.8,2024-11-02,1
51.5,782,AtlasIntel,Trump,-0.8,2024-11-02,0
46,800,InsiderAdvantage,Harris,-0.3,2024-11-02,1
49,800,InsiderAdvantage,Trump,-0.3,2024-11-02,0
47,800,InsiderAdvantage,Harris,-0.3,2024-11-02,1
47,800,InsiderAdvantage,Trump,-0.3,2024-11-02,0
48,800,InsiderAdvantage,Harris,-0.3,2024-11-02,1
49,800,InsiderAdvantage,Trump,-0.3,2024-11-02,0
48,800,InsiderAdvantage,Harris,-0.3,2024-11-02,1
49,800,InsiderAdvantage,Trump,-0.3,2024-11-02,0
47,800,InsiderAdvantage,Harris,-0.3,2024-11-02,1
49,800,InsiderAdvantage,Trump,-0.3,2024-11-02,0
46.9,400,Victory Insights,Harris,0.1,2024-11-02,1
51.2,400,Victory Insights,Trump,0.1,2024-11-02,0
48,1305,TIPP,Harris,-0.4,2024-11-02,1
49,1305,TIPP,Trump,-0.4,2024-11-02,0
47.6,1305,TIPP,Harris,-0.4,2024-11-02,1
48.6,1305,TIPP,Trump,-0.4,2024-11-02,0
51,1297,Marist,Harris,-0.9,2024-11-02,1
47,1297,Marist,Trump,-0.9,2024-11-02,0
49,1446,Marist,Harris,-0.9,2024-11-02,1
49,1446,Marist,Trump,-0.9,2024-11-02,0
49.4,1000,Emerson,Harris,-1.1,2024-11-02,1
49.2,1000,Emerson,Trump,-1.1,2024-11-02,0
46,1000,Hart/POS,Harris,-0.7,2024-11-02,1
47,1000,Hart/POS,Trump,-0.7,2024-11-02,0
49,1000,Hart/POS,Harris,-0.7,2024-11-02,1
49,1000,Hart/POS,Trump,-0.7,2024-11-02,0
48.7,900,Emerson,Harris,-1.1,2024-11-02,1
50.8,900,Emerson,Trump,-1.1,2024-11-02,0
50.5,790,Emerson,Harris,-1.1,2024-11-02,1
48.9,790,Emerson,Trump,-1.1,2024-11-02,0
48.9,840,Emerson,Harris,-1.1,2024-11-02,1
49,840,Emerson,Trump,-1.1,2024-11-02,0
49.2,1000,Emerson,Harris,-1.1,2024-11-02,1
49.9,1000,Emerson,Trump,-1.1,2024-11-02,0
49.5,800,Emerson,Harris,-1.1,2024-11-02,1
49.8,800,Emerson,Trump,-1.1,2024-11-02,0
49.3,800,Emerson,Harris,-1.1,2024-11-02,1
49.8,800,Emerson,Trump,-1.1,2024-11-02,0
49.3,860,Emerson,Harris,-1.1,2024-11-02,1
49.7,860,Emerson,Trump,-1.1,2024-11-02,0
43.5,900,Emerson,Harris,-1.1,2024-11-02,1
54.7,900,Emerson,Trump,-1.1,2024-11-02,0
44,998,Siena/NYT,Harris,-1.5,2024-11-02,1
47,998,Siena/NYT,Trump,-1.5,2024-11-02,0
42,998,Siena/NYT,Harris,-1.5,2024-11-02,1
44,998,Siena/NYT,Trump,-1.5,2024-11-02,0
47,998,Siena/NYT,Harris,-1.5,2024-11-02,1
47,998,Siena/NYT,Trump,-1.5,2024-11-02,0
45,998,Siena/NYT,Harris,-1.5,2024-11-02,1
45,998,Siena/NYT,Trump,-1.5,2024-11-02,0
47,1527,Siena/NYT,Harris,-1.5,2024-11-02,1
48,1527,Siena/NYT,Trump,-1.5,2024-11-02,0
46,1527,Siena/NYT,Harris,-1.5,2024-11-02,1
47,1527,Siena/NYT,Trump,-1.5,2024-11-02,0
48,1527,Siena/NYT,Harris,-1.5,2024-11-02,1
48,1527,Siena/NYT,Trump,-1.5,2024-11-02,0
47,1527,Siena/NYT,Harris,-1.5,2024-11-02,1
47,1527,Siena/NYT,Trump,-1.5,2024-11-02,0
51,2814,U. New Hampshire,Harris,-0.3,2024-11-02,1
46,2814,U. New Hampshire,Trump,-0.3,2024-11-02,0
52,1485,U. New Hampshire,Harris,-0.3,2024-11-02,1
41,1485,U. New Hampshire,Trump,-0.3,2024-11-02,0
60,744,U. New Hampshire,Harris,-0.3,2024-11-02,1
34,744,U. New Hampshire,Trump,-0.3,2024-11-02,0
54,708,U. New Hampshire,Harris,-0.3,2024-11-02,1
40,708,U. New Hampshire,Trump,-0.3,2024-11-02,0
63,1167,U. New Hampshire,Harris,-0.3,2024-11-02,1
31,1167,U. New Hampshire,Trump,-0.3,2024-11-02,0
60,801,U. New Hampshire,Harris,-0.3,2024-11-02,1
36,801,U. New Hampshire,Trump,-0.3,2024-11-02,0
44,683,U. New Hampshire,Harris,-0.3,2024-11-02,1
48,683,U. New Hampshire,Trump,-0.3,2024-11-02,0
49,585,Mitchell,Harris,-0.2,2024-11-02,1
48,585,Mitchell,Trump,-0.2,2024-11-02,0
50,585,Mitchell,Harris,-0.2,2024-11-02,1
48,585,Mitchell,Trump,-0.2,2024-11-02,0
48,1010,Siena/NYT,Harris,-1.5,2024-11-02,1
44,1010,Siena/NYT,Trump,-1.5,2024-11-02,0
47,1010,Siena/NYT,Harris,-1.5,2024-11-02,1
43,1010,Siena/NYT,Trump,-1.5,2024-11-02,0
48,1010,Siena/NYT,Harris,-1.5,2024-11-02,1
46,1010,Siena/NYT,Trump,-1.5,2024-11-02,0
48,1010,Siena/NYT,Harris,-1.5,2024-11-02,1
45,1010,Siena/NYT,Trump,-1.5,2024-11-02,0
44,1025,Siena/NYT,Harris,-1.5,2024-11-02,1
48,1025,Siena/NYT,Trump,-1.5,2024-11-02,0
42,1025,Siena/NYT,Harris,-1.5,2024-11-02,1
47,1025,Siena/NYT,Trump,-1.5,2024-11-02,0
45,1025,Siena/NYT,Harris,-1.5,2024-11-02,1
49,1025,Siena/NYT,Trump,-1.5,2024-11-02,0
44,1025,Siena/NYT,Harris,-1.5,2024-11-02,1
48,1025,Siena/NYT,Trump,-1.5,2024-11-02,0
49,1305,Siena/NYT,Harris,-1.5,2024-11-02,1
47,1305,Siena/NYT,Trump,-1.5,2024-11-02,0
48,1305,Siena/NYT,Harris,-1.5,2024-11-02,1
45,1305,Siena/NYT,Trump,-1.5,2024-11-02,0
